name,key,taxonomic_rank,order,family,genus
Hydnum_repandum,2554716,SPECIES,Cantharellales,Hydnaceae,Hydnum
Gliophorus_laetus,3304469,SPECIES,Agaricales,Hygrophoraceae,Gliophorus
Tricholoma_magnivelare,5241741,SPECIES,Agaricales,Tricholomataceae,Tricholoma
Amanita_wellsii,5451733,SPECIES,Agaricales,Amanitaceae,Amanita
Ramaria_stricta,8869949,SPECIES,Gomphales,Gomphaceae,Ramaria
Lentinellus_ursinus,9044184,SPECIES,Russulales,Auriscalpiaceae,Lentinellus
Vitreoporus_dichrous,10719947,SPECIES,Polyporales,Irpicaceae,Vitreoporus
Sebacina_sparassoidea,2522103,SPECIES,Sebacinales,Sebacinaceae,Sebacina
Panaeolina_foenisecii,2526698,SPECIES,Agaricales,Bolbitiaceae,Panaeolina
Pholiota_squarrosa,2534205,SPECIES,Agaricales,Strophariaceae,Pholiota
Suillus_cavipes,5239851,SPECIES,Boletales,Suillaceae,Suillus
Clavulinopsis_corniculata,5244431,SPECIES,Agaricales,Clavariaceae,Clavulinopsis
Baorangia_bicolor,7621292,SPECIES,Boletales,Boletaceae,Baorangia
Agrocybe_praecox,8997022,SPECIES,Agaricales,Strophariaceae,Agrocybe
Retiboletus_ornatipes,2524455,SPECIES,Boletales,Boletaceae,Retiboletus
Conocybe_apala,2529827,SPECIES,Agaricales,Bolbitiaceae,Conocybe
Laccaria_bicolor,2530973,SPECIES,Agaricales,Hydnangiaceae,Laccaria
Hebeloma_mesophaeum,2533062,SPECIES,Agaricales,Hymenogastraceae,Hebeloma
Armillaria_sinapina,2536870,SPECIES,Agaricales,Physalacriaceae,Armillaria
Baeospora_myriadophylla,2537965,SPECIES,Agaricales,Marasmiaceae,Baeospora
Hygrocybe_miniata,2538580,SPECIES,Agaricales,Hygrophoraceae,Hygrocybe
Amanita_citrina,3328320,SPECIES,Agaricales,Amanitaceae,Amanita
Tylopilus_rubrobrunneus,3354664,SPECIES,Boletales,Boletaceae,Tylopilus
Amanita_porphyria,5240279,SPECIES,Agaricales,Amanitaceae,Amanita
Amanita_velatipes,5451757,SPECIES,Agaricales,Amanitaceae,Amanita
Sutorius_eximius,7358611,SPECIES,Boletales,Boletaceae,Sutorius
Cortinarius_collinitus,7476637,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Hapalopilus_rutilans,8383534,SPECIES,Polyporales,Phanerochaetaceae,Hapalopilus
Neolentinus_lepideus,9129313,SPECIES,Gloeophyllales,Gloeophyllaceae,Neolentinus
Collybiopsis_confluens,11993337,SPECIES,Agaricales,Omphalotaceae,Collybiopsis
Amanita_virosa,5240323,SPECIES,Agaricales,Amanitaceae,Amanita
Punctularia_strigosozonata,5249961,SPECIES,Corticiales,Punctulariaceae,Punctularia
Xerocomus_subtomentosus,2519457,SPECIES,Boletales,Boletaceae,Xerocomus
Ampulloclitocybe_clavipes,2538864,SPECIES,Agaricales,Hygrophoraceae,Ampulloclitocybe
Cantharellus_cinnabarinus,5249599,SPECIES,Cantharellales,Hydnaceae,Cantharellus
Lycoperdon_marginatum,5453425,SPECIES,Agaricales,Agaricaceae,Lycoperdon
Lactarius_vinaceorufescens,7240137,SPECIES,Russulales,Russulaceae,Lactarius
Entoloma_chalybaeum,7451115,SPECIES,Agaricales,Entolomataceae,Entoloma
Suillus_granulatus,8146046,SPECIES,Boletales,Suillaceae,Suillus
Leccinum_holopus,2524503,SPECIES,Boletales,Boletaceae,Leccinum
Mycena_pura,2527219,SPECIES,Agaricales,Mycenaceae,Mycena
Stropharia_rugosoannulata,2533347,SPECIES,Agaricales,Strophariaceae,Stropharia
Russula_fragilis,2551254,SPECIES,Russulales,Russulaceae,Russula
Cuphophyllus_pratensis,3291564,SPECIES,Agaricales,Hygrophoraceae,Cuphophyllus
Amanita_vaginata,5240306,SPECIES,Agaricales,Amanitaceae,Amanita
Tricholoma_pessundatum,5241789,SPECIES,Agaricales,Tricholomataceae,Tricholoma
Cortinarius_evernius,9114765,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Hydnellum_caeruleum,2522245,SPECIES,Thelephorales,Bankeraceae,Hydnellum
Phallus_indusiatus,2524108,SPECIES,Phallales,Phallaceae,Phallus
Collybia_tuberosa,2532472,SPECIES,Agaricales,Tricholomataceae,Collybia
Pholiota_granulosa,2534261,SPECIES,Agaricales,Strophariaceae,Pholiota
Clitopilus_prunulus,2539197,SPECIES,Agaricales,Entolomataceae,Clitopilus
Ganoderma_lucidum,2549730,SPECIES,Polyporales,Polyporaceae,Ganoderma
Cuphophyllus_virgineus,3345381,SPECIES,Agaricales,Hygrophoraceae,Cuphophyllus
Cortinarius_iodes,3350173,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Imleria_badia,7832732,SPECIES,Boletales,Boletaceae,Imleria
Rhodofomes_roseus,8179389,SPECIES,Polyporales,Fomitopsidaceae,Rhodofomes
Pholiota_spumosa,9109424,SPECIES,Agaricales,Strophariaceae,Pholiota
Hypsizygus_ulmarius,9113338,SPECIES,Agaricales,Lyophyllaceae,Hypsizygus
Bresadolia_craterella,9690341,SPECIES,Polyporales,Polyporaceae,Bresadolia
Cortinarius_trivialis,2529014,SPECIES,Agaricales,Cortinariaceae,Cortinarius
Arrhenia_epichysium,2532835,SPECIES,Agaricales,Hygrophoraceae,Arrhenia
Stropharia_caerulea,2533355,SPECIES,Agaricales,Strophariaceae,Stropharia
Hygrocybe_chlorophana,2538630,SPECIES,Agaricales,Hygrophoraceae,Hygrocybe
