gbifID,eventDate,year,stateProvince,species,occurrenceID,region_code,geoc_maj,cl_pent,dep_sur,cl_drai,cl_haut,type_couv,origine,an_origine,perturb,an_perturb,ty_couv_et,densite,cl_age_et,tree_cover,richness_index,shannon_index
4405434213,2023-08-26T16:08:26,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/180682374,21M,"-167934,12+426368,84",D,1AY,30.0,4,R,,,,,R,75.0,50,"{'EN': 0.8, 'SB': 0.2}",2,0.5004024235381879
4399943981,2023-08-15T18:25:41,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/178667913,21M,"-139408,95+412177,13",A,2BE,40.0,3,R,,,,,R,75.0,70,"{'EP': 0.9, 'ML': 0.1}",2,0.3250829733914482
4129770505,2023-04-07T11:37:03,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/154101920,21M,"-257496,12+348135,64",D,2BE,20.0,2,F,,,,,F,85.0,VIN,"{'ES': 0.6, 'BJ': 0.3, 'HG': 0.1}",3,0.8979457248567797
4063100344,2018-08-29T06:47:53,2018.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/55350438,21M,"-219323,43+342876,34",D,1A,30.0,4,M,,,,,MF,95.0,30,"{'BP': 0.3, 'BJ': 0.2, 'FN': 0.1, 'SB': 0.3, 'EB': 0.1}",5,1.5047882836811908
4062863350,2020-09-15T15:56,2020.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/59726432,21M,"-183702,12+344357,70",D,1AY,20.0,1,F,,,,,F,75.0,VIN,"{'HG': 0.5, 'ES': 0.4, 'EO': 0.1}",3,0.9433483923290391
3986075803,2022-09-29T13:40:38,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/136959136,21M,"-150724,66+385289,05",A,3AN,50.0,2,M,,,,,MF,75.0,VIN,"{'FH': 0.2, 'FN': 0.2, 'PA': 0.2, 'EN': 0.3, 'SB': 0.1}",5,1.5571130980576455
3915567279,2022-09-23T13:25:52,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/136524722,21M,"-219437,37+363621,99",S,2AK,20.0,1,F,,,,,F,85.0,VIN,"{'ES': 0.7, 'BJ': 0.3}",2,0.6108643020548935
3384375561,2021-09-19T13:18:34,2021.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/95422866,21M,"-150724,66+385289,05",A,3AN,50.0,2,M,,,,,MF,75.0,VIN,"{'FH': 0.2, 'FN': 0.2, 'PA': 0.2, 'EN': 0.3, 'SB': 0.1}",5,1.5571130980576455
2580257230,2019-09-18,2019.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/37944888,21M,"-199551,28+373018,20",C,2BE,30.0,3,R,,,EC,1995.0,R,55.0,70,"{'SB': 0.8, 'EB': 0.1, 'EN': 0.1}",3,0.639031859650177
2580138988,2019-09-18,2019.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/37945013,21M,"-199551,28+373018,20",C,2BE,30.0,3,R,,,EC,1995.0,R,55.0,70,"{'SB': 0.8, 'EB': 0.1, 'EN': 0.1}",3,0.639031859650177
2579334797,2019-10-10T14:50:15,2019.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/34274030,21M,"-222409,04+351933,28",D,1A,20.0,2,F,,,,,F,75.0,VIN,"{'BJ': 0.8, 'ES': 0.1, 'SE': 0.1}",3,0.639031859650177
1412707372,1983-08-27,1983.0,Québec,Apioperdon pyriforme,CMMF015793,21M,"-233561,80+430716,00",C,1A,30.0,4,R,ES,1985.0,,,R,75.0,30,"{'SB': 0.7, 'EB': 0.2, 'EN': 0.1}",3,0.8018185525433372
