gbifID,eventDate,year,stateProvince,species,genus,family,occurrenceID,region_code,geoc_maj,cl_pent,dep_sur,cl_drai,cl_haut,type_couv,origine,an_origine,perturb,an_perturb,ty_couv_et,densite,cl_age_et,tree_cover,richness_index,shannon_index
1135071048,2007-07-29,2007,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,CMMF009630,21M,"-204184,42+337959,84",C,2BE,20.0,3,M,,,CP,,MR,65.0,50,"{'EB': 0.5, 'SB': 0.2, 'BP': 0.2, 'PE': 0.1}",4,1.2206072645530173
4171211808,2022-09-01T17:56:26,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/163387311,21N,"-55920,58+388548,08",D,1AM,20.0,2,F,,,,,F,85.0,50,"{'BP': 0.4, 'PE': 0.3, 'ER': 0.1, 'FX': 0.1, 'SE': 0.1}",5,1.4184836619456564
4162301160,2023-07-14T11:05:42,2023,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/173247766,21N,"-21022,86+413596,10",C,1A,30.0,1,M,,,,,MF,65.0,70,"{'PA': 0.6, 'SB': 0.3, 'EB': 0.1}",3,0.8979457248567797
4127381406,2022-09-01T17:58,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/163387328,21N,"-55920,58+388548,08",D,1AM,20.0,2,F,,,,,F,85.0,50,"{'BP': 0.4, 'PE': 0.3, 'ER': 0.1, 'FX': 0.1, 'SE': 0.1}",5,1.4184836619456564
4067622782,2014-08-07T15:01,2014,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/150888829,21N,"-57043,94+382378,88",C,1AY,30.0,2,F,,,,,F,65.0,VIN,"{'PE': 0.5, 'BP': 0.2, 'EO': 0.2, 'SE': 0.1}",4,1.2206072645530173
4067312740,2014-08-07T15:01,2014,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/150888831,21N,"-57043,94+382378,88",C,1AY,30.0,2,F,,,,,F,65.0,VIN,"{'PE': 0.5, 'BP': 0.2, 'EO': 0.2, 'SE': 0.1}",4,1.2206072645530173
1802660779,2017-09-15T11:11,2017,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/9059281,21N,"+2284,63+402585,06",C,1A,30.0,3,R,P,1976.0,,,R,85.0,50,"{'EN': 0.9, 'SB': 0.1}",2,0.3250829733914482
4980447837,2024-08-19T08:37,2024,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/239524882,22A,"+318484,78+509977,92",C,8AY,30.0,4,R,ES,1980.0,,,R,65.0,50,"{'SB': 0.6, 'EB': 0.3, 'BP': 0.1}",3,0.8979457248567797
4028626018,2022-09-01T21:38,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/133412403,22A,"+318546,95+510098,76",D,8AY,30.0,4,R,ES,1980.0,,,R,55.0,30,"{'SB': 0.9, 'EB': 0.1}",2,0.3250829733914482
3902921863,2022-08-25T17:30,2022,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/132329789,22A,"+186374,26+481891,88",F,1AY,20.0,2,M,,,,,MM,85.0,VIN,"{'SB': 0.3, 'EB': 0.1, 'TO': 0.1, 'BJ': 0.2, 'PA': 0.2, 'EO': 0.1}",6,1.6957425341696346
3415825759,2021-07-26T13:40:31,2021,Québec,Turbinellus floccosus,Turbinellus,Gomphaceae,https://www.inaturalist.org/observations/89056809,22A,"+225302,17+460876,10",A,3AN,30.0,3,M,,,,,MF,55.0,JIN,"{'PE': 0.4, 'BP': 0.1, 'FN': 0.1, 'SB': 0.3, 'EB': 0.1}",5,1.4184836619456564
