Occurrences,Scientific name,Kingdom,Phylum,Class,Order,Family,Genus,Species
66,Lactarius deterrimus Gröger,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius deterrimus
64,Mycena galericulata (Scop.) Gray,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena galericulata
64,"Coprinopsis atramentaria (Bull.) Redhead, Vilgalys & Moncalvo",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis atramentaria
63,Pluteus cervinus (Schaeff.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus cervinus
63,Neofavolus alveolaris (DC.) Sotome & T.Hatt.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Neofavolus,Neofavolus alveolaris
63,Amanita frostiana (Peck) Sacc.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita frostiana
62,Cortinarius caperatus (Pers.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius caperatus
62,Coprinellus disseminatus (Pers.) J.E.Lange,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus disseminatus
62,Entoloma murrayi (Berk. & M.A.Curtis) Sacc. & P.Syd.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma murrayi
62,"Coprinopsis variegata (Peck) Redhead, Vilgalys & Moncalvo",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis variegata
61,Gyroporus cyanescens (Bull.) Quél.,Fungi,Basidiomycota,Agaricomycetes,Boletales,Gyroporaceae,Gyroporus,Gyroporus cyanescens
61,Pleurotus ostreatus (Jacq.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus ostreatus
61,Cyathus striatus Willd.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,Cyathus striatus
60,Paxillus involutus (Batsch) Fr.,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,Paxillus involutus
60,Gymnopus dryophilus (Bull.) Murrill,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus dryophilus
60,Cantharellus cibarius Fr.,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Cantharellus,Cantharellus cibarius
59,Cantharellula umbonata (J.F.Gmel.) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cantharellula,Cantharellula umbonata
59,Suillus grevillei (Klotzsch) Singer,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus grevillei
57,Phlebia radiata Fr.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Phlebia,Phlebia radiata
56,Leccinum aurantiacum (Bull.) Gray,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,Leccinum aurantiacum
56,Pleurotus populinus O.Hilber & O.K.Mill.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus populinus
